Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
942,Text,1997-06-01,Green Mansions: A Romance of the Tropical Forest,en,"Hudson, W. H. (William Henry), 1841-1922",Love stories; South America -- Fiction; Rain forests -- Fiction; Wild women -- Fiction,PR,
943,Text,1997-06-01,Misalliance,en,"Shaw, Bernard, 1856-1950",English drama -- 20th century; England -- Social life and customs -- 20th century -- Drama; Mate selection -- Drama,PR,
944,Text,1997-06-01,The Voyage of the Beagle,en,"Darwin, Charles, 1809-1882",Natural history; Beagle Expedition (1831-1836); Geology; Voyages around the world -- History -- 19th century; South America -- Discovery and exploration,QH,Harvard Classics; Travel
945,Text,1997-06-01,Dust,en,"Haldeman-Julius, E. (Emanuel), 1888-1951; Haldeman-Julius, Marcet, 1887-1941",Domestic fiction; Country life -- Fiction; Marriage -- Fiction,PS,
946,Text,1997-06-01,Lady Susan,en,"Austen, Jane, 1775-1817",England -- Fiction; Widows -- Fiction; Mate selection -- Fiction; Mothers and daughters -- Fiction; Epistolary fiction,PR,
947,Text,2006-02-05,"The Life of Horatio, Lord Nelson",en,"Southey, Robert, 1774-1843","Nelson, Horatio Nelson, Viscount, 1758-1805; Admirals -- Great Britain -- Biography",DA,Napoleonic(Bookshelf)
948,Text,1997-06-01,Ethics — Part 3,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
949,Text,1997-06-01,"Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure",en,"Appleton, Victor","Science fiction; Treasure troves -- Juvenile fiction; Submarines (Ships) -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction",PZ,Children's Book Series
950,Text,1997-06-01,"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Electric automobiles -- Juvenile fiction",PZ,Children's Book Series
951,Text,1997-06-01,"Tom Swift and His Sky Racer; Or, The Quickest Flight on Record",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Aeronautics -- Juvenile fiction",PZ,Children's Book Series
952,Text,1997-06-01,"Tom Swift and His Air Glider; Or, Seeking the Platinum Treasure",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Russia -- Juvenile fiction; Gliders (Aeronautics) -- Juvenile fiction",PZ,Children's Book Series
953,Text,1997-06-01,"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Tunnels -- Juvenile fiction; Andes Region -- Juvenile fiction",PZ,Children's Book Series
954,Text,1997-06-01,"Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Tanks (Military science) -- Juvenile fiction",PZ,Children's Book Series
955,Text,1997-06-01,The Patchwork Girl of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Adventure and adventurers -- Juvenile fiction; Magic -- Juvenile fiction; Cats -- Juvenile fiction; Dolls -- Juvenile fiction; Fortune -- Juvenile fiction; Magicians -- Juvenile fiction,PZ,Children's Literature; Fantasy
956,Text,1997-06-01,Tik-Tok of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Brothers -- Juvenile fiction; Dragons -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Girls -- Juvenile fiction; Magic -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Mules -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction",PZ,Children's Literature; Fantasy
957,Text,1997-06-01,The Scarecrow of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Islands -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Caves -- Juvenile fiction; Girls -- Juvenile fiction; Sailors -- Juvenile fiction; Magic -- Juvenile fiction; Deserts -- Juvenile fiction; Storms -- Juvenile fiction; Mermaids -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Witches -- Juvenile fiction",PZ,Children's Literature; Fantasy
958,Text,1997-06-01,"Rinkitink in Oz
Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz",en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Islands -- Juvenile fiction; Friendship -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction; Goats -- Juvenile fiction; Magic -- Juvenile fiction; Escapes -- Juvenile fiction; Slaves -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Good and evil -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction",PZ,Fantasy
959,Text,1997-06-01,The Lost Princess of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Friendship -- Juvenile fiction; Magic -- Juvenile fiction; Household employees -- Juvenile fiction; Princesses -- Juvenile fiction; Theft -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction; Magicians -- Juvenile fiction",PZ,Fantasy
960,Text,1997-06-01,"The Tin Woodman of Oz
A Faithful Story of the Astonishing Adventure Undertaken by the Tin Woodman, Assisted by Woot the Wanderer, the Scarecrow of Oz, and Polychrome, the Rainbow's Daughter",en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Boys -- Juvenile fiction; Magic -- Juvenile fiction; Love -- Juvenile fiction; Soldiers -- Juvenile fiction; Good and evil -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Witches -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction; Wizards -- Juvenile fiction",PZ,Children's Literature; Fantasy
